ASV,kingdom,phylum,class,order,family,genus,species
ASV_3509,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS07,NA,NA,NA
ASV_540,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS10,NA,NA,NA
ASV_3014,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS10,NA,NA,NA
ASV_1733,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS10,NA,NA,NA
ASV_551,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__Branch02,NA,NA,NA
ASV_2654,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__Branch02,NA,NA,NA
ASV_2763,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS08,NA,NA,NA
ASV_456,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS02,NA,NA,NA
ASV_1775,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS02,NA,NA,NA
ASV_2067,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS02,NA,NA,NA
ASV_1729,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS05,NA,NA,NA
ASV_2774,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS05,NA,NA,NA
ASV_425,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS11,NA,NA,NA
ASV_179,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS11,NA,NA,NA
ASV_519,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS11,NA,NA,NA
ASV_309,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS11,NA,NA,NA
ASV_493,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS11,NA,NA,NA
ASV_2200,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS11,NA,NA,NA
ASV_346,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS11,NA,NA,NA
ASV_1915,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS11,NA,NA,NA
ASV_1669,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,o__GS11,NA,NA,NA
ASV_2299,k__Fungi,p__Rozellomycota,c__Rozellomycotina_cls_Incertae_sedis,NA,NA,NA,NA
ASV_5152,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_2411,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_3039,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_4353,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_3519,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_1102,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_1757,k__Fungi,p__Rozellomycota,NA,NA,NA,NA,NA
ASV_826,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA
ASV_344,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA
ASV_805,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA
ASV_716,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA
ASV_420,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA
ASV_506,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA
ASV_1419,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA
ASV_695,k__Fungi,p__Ascomycota,c__Sordariomycetes,NA,NA,NA,NA
ASV_450,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora,NA
ASV_1518,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora,NA
ASV_177,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora,NA
ASV_473,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora,s__bambusae
ASV_1075,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora,s__oryzae
ASV_496,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora,s__oryzae
ASV_852,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Trichosphaeriales,f__Trichosphaeriaceae,g__Nigrospora,s__oryzae
ASV_86,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Branch06,NA,NA,NA
ASV_197,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Branch06,NA,NA,NA
ASV_461,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Branch06,NA,NA,NA
ASV_389,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Branch06,NA,NA,NA
ASV_37,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Branch06,NA,NA,NA
ASV_1288,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Branch06,NA,NA,NA
ASV_94,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Magnaporthales,f__Magnaporthaceae,g__Magnaporthiopsis,NA
ASV_2158,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Metarhizium,s__carneum
ASV_54,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Metarhizium,s__anisopliae
ASV_1114,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Clavicipitaceae,g__Metacordyceps,s__chlamydosporia
ASV_1496,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,NA,NA,NA
ASV_907,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,NA
ASV_237,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Hypocreaceae,g__Trichoderma,s__viride
ASV_390,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Lulworthiales,f__Lulworthiaceae,g__Moleospora,NA
ASV_301,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,NA,NA,NA
ASV_277,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,NA,NA
ASV_1624,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariales_fam_Incertae_sedis,g__Conlarium,NA
ASV_1413,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariales_fam_Incertae_sedis,g__Conlarium,NA
ASV_850,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Sordariales_fam_Incertae_sedis,g__Conlarium,NA
ASV_1877,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,NA,NA,NA
ASV_4237,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariales_fam_Incertae_sedis,g__Neoidriella,s__desertorum
ASV_2,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Microdochium,s__seminicola
ASV_644,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Microdochium,NA
ASV_194,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Microdochiaceae,g__Microdochium,NA
ASV_5719,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,g__Biscogniauxia,NA
ASV_1172,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Sporocadaceae,g__Pestalotiopsis,NA
ASV_2101,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Sporocadaceae,g__Neopestalotiopsis,NA
ASV_2476,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporales_fam_Incertae_sedis,g__Polyschema,s__sclerotigenum
ASV_794,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Alternaria,NA
ASV_181,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,NA
ASV_517,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Drechslera,NA
ASV_1026,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,NA,NA
ASV_1450,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,NA
ASV_3693,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Curvularia,NA
ASV_927,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymosphaeriaceae,g__Pseudopithomyces,s__rosae
ASV_583,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,g__Preussia,s__flanaganii
ASV_1062,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,NA,NA
ASV_1731,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Corynesporascaceae,g__Corynespora,s__cassiicola
ASV_1364,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
ASV_17,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
ASV_861,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
ASV_1193,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
ASV_66,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
ASV_278,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
ASV_518,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
ASV_217,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
ASV_97,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
ASV_246,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Didymellaceae,NA,NA
ASV_92,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lindgomycetaceae,g__Clohesyomyces,NA
ASV_402,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Lindgomycetaceae,g__Clohesyomyces,NA
ASV_1129,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
ASV_232,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,NA,NA,NA
